UID0,UID1,UID2,UID3,Label,Ttype,Mtype,L1,L2
136,83,74,50,tagName,2,2,0.0,0.0
136,83,73,50,tagName,2,2,0.0,0.0
136,83,72,50,tagName,2,2,0.0,0.0
136,83,43,47,tagName,2,2,0.0,0.0
136,83,66,50,tagName,2,2,0.0,0.0
136,83,65,50,tagName,2,2,0.0,0.0
136,83,64,50,tagName,2,2,0.0,0.0
136,83,63,50,tagName,2,2,0.0,0.0
136,83,201,48,tagName,2,2,0.0,0.0
136,83,57,50,tagName,2,2,0.0,0.0
136,83,56,50,tagName,2,2,0.0,0.0
136,83,55,50,tagName,2,2,0.0,0.0
136,83,200,48,tagName,2,2,0.0,0.0
136,83,49,50,tagName,2,2,0.0,0.0
136,83,48,50,tagName,2,2,0.0,0.0
136,83,47,50,tagName,2,2,0.0,0.0
136,83,42,50,tagName,2,2,0.0,0.0
136,83,41,50,tagName,2,2,0.0,0.0
136,83,40,50,tagName,2,2,0.0,0.0
136,83,39,50,tagName,2,2,0.0,0.0
136,83,34,50,tagName,2,2,0.0,0.0
136,83,33,50,tagName,2,2,0.0,0.0
136,83,32,50,tagName,2,2,0.0,0.0
136,83,31,50,tagName,2,2,0.0,0.0
136,83,26,50,tagName,2,2,0.0,0.0
136,83,25,50,tagName,2,2,0.0,0.0
136,83,24,50,tagName,2,2,0.0,0.0
136,83,23,50,tagName,2,2,0.0,0.0
136,83,18,50,tagName,2,2,0.0,0.0
136,83,17,50,tagName,2,2,0.0,0.0
136,83,16,50,tagName,2,2,0.0,0.0
136,83,15,50,tagName,2,2,0.0,0.0
136,83,10,50,tagName,2,2,0.0,0.0
136,83,9,50,tagName,2,2,0.0,0.0
136,83,8,50,tagName,2,2,0.0,0.0
136,83,7,50,tagName,2,2,0.0,0.0
136,83,2,50,tagName,2,2,0.0,0.0
136,83,1,50,tagName,2,2,0.0,0.0
136,83,0,50,tagName,2,2,0.0,0.0
136,83,255,49,tagName,2,2,0.0,0.0
136,83,250,49,tagName,2,2,0.0,0.0
136,83,249,49,tagName,2,2,0.0,0.0
136,83,248,49,tagName,2,2,0.0,0.0
136,83,247,49,tagName,2,2,0.0,0.0
136,83,242,49,tagName,2,2,0.0,0.0
136,83,241,49,tagName,2,2,0.0,0.0
136,83,240,49,tagName,2,2,0.0,0.0
136,83,239,49,tagName,2,2,0.0,0.0
136,83,234,49,tagName,2,2,0.0,0.0
136,83,233,49,tagName,2,2,0.0,0.0
136,83,232,49,tagName,2,2,0.0,0.0
136,83,231,49,tagName,2,2,0.0,0.0
136,83,226,49,tagName,2,2,0.0,0.0
136,83,225,49,tagName,2,2,0.0,0.0
136,83,224,49,tagName,2,2,0.0,0.0
136,83,153,207,tagName,2,2,0.0,0.0

